song_id,similarities_id
0,[ 66 114  58  52  97]
1,[28 16 45  7 25]
2,[16 28 40 22  1]
3,[  4  26  56 132  49]
4,[  3 136  26  24  37]
5,[ 26  12 135  47   2]
6,[ 35  63   2 138 146]
7,[  1 128  32  26 121]
8,[124  42  40  12   1]
9,[ 74  43  17 113  20]
10,[ 65  31  70 133  14]
11,[106  20  95  53  38]
12,[23 40  5  8 26]
13,[ 18  14 143  95  96]
14,[ 13 130  95 143  96]
15,[31 27 22 20  4]
16,[ 2  1 23 28 25]
17,[151   4   9  37  85]
18,[13 94 65 27 25]
19,[ 64  65  55 127  23]
20,[123  15   9  27 121]
21,[127  53  93 113 152]
22,[ 28 129   2  68  16]
23,[ 12  16  68 154  65]
24,[86  4 32 29 26]
25,[  1  16 138 146  49]
26,[142 138   5 146   4]
27,[59 28  1  2 33]
28,[ 1  2 16 22 27]
29,[24 23 68 28 63]
30,[ 93  76  78 137 141]
31,[149  33 115  15 133]
32,[ 80 128  24   7  92]
33,[140  28  31 113  40]
34,[140  76   3  78  77]
35,[  6 115  16 123  23]
36,[135 122 125 117 114]
37,[  4   3  17 110   9]
38,[46 40 42 86 99]
39,[147  79  80 138 117]
40,[ 12   1   2   8 129]
41,[ 73  23 133  81  50]
42,[143   8 128  85  13]
43,[143 113  65  85   9]
44,[ 86  67 141  21 104]
45,[ 1 86 56 16 46]
46,[ 73  38  35  96 138]
47,[ 26  98   5 101  67]
48,[122  85 114  88 138]
49,[71 25  3 26 91]
50,[142 127  85 152  24]
51,[ 83 106  68  52  97]
52,[ 52 154  79   0  66]
53,[ 93  96  21 129  23]
54,[122  48 138 146 121]
55,[ 70  19  22  77 119]
56,[143   3  45  68 111]
57,[ 89 150 115 111 112]
58,[123 114   0  68  66]
59,[ 27 152  28 138 140]
60,[ 95  68  67  43 102]
61,[142   4  95  76  91]
62,[135  72  90 151 120]
63,[  6  26   8  68 138]
64,[ 19 114 133  14 130]
65,[ 85 132  43 113 141]
66,[  0  58 114  52  97]
67,[138 146  13 108  47]
68,[142  74  86  23 130]
69,[ 98  95 129  87  55]
70,[ 86  55  10  81 126]
71,[49 25  3 26 91]
72,[ 85 152 100  99 144]
73,[46 22 41 53 23]
74,[68 86  9 83 77]
75,[ 47 126  52  97  79]
76,[78 30 34 91 16]
77,[109  74  25  48 123]
78,[76 53 30 93 34]
79,[ 81  52  97  39 111]
80,[ 92 121  32 108 142]
81,[ 79  85  48 128 111]
82,[ 46 151  48  98  30]
83,[ 74  51 130 138 111]
84,[140 128 116 130 138]
85,[128  65  48 143  88]
86,[152  68  24  70  45]
87,[113 109  69  55  36]
88,[ 48  85  68 153 123]
89,[23 57  0 66 12]
90,[ 94 154  85   4  24]
91,[ 95 138   1  49 146]
92,[ 80 101 110 113 153]
93,[ 53  30  96 129  21]
94,[ 90  18  85 116 102]
95,[ 14  96  91  13 150]
96,[95 14 28 53 13]
97,[ 52 154  79   0  66]
98,[ 47  69 148  82  50]
99,[12 38 72 23 35]
100,[116 136 134 143 127]
101,[ 92 135 134 152 136]
102,[125 149 134  24 127]
103,[130 145 138 146  65]
104,[141 137 116  65 128]
105,[ 48 114 111 143   0]
106,[142  51 154 135 136]
107,[145 149 120 142 108]
108,[128 145  80 107 154]
109,[ 77  48  87 112 113]
110,[142  92 152 150  85]
111,[114 115 123  58  92]
112,[152 146 109  57 129]
113,[ 43 138  92 136 146]
114,[111  48 122  58 152]
115,[111  35  31  57 121]
116,[120 100 141 137 140]
117,[154  80 132  36 118]
118,[150 142   1 140 128]
119,[138 146  92  65  85]
120,[107 116 127 110 136]
121,[ 80 145 127 113 152]
122,[ 48 114  36  54  68]
123,[111 133  58  20 114]
124,[126   8 108   3 129]
125,[102 130 136  36 113]
126,[124  95  75  70 108]
127,[136 121  21 137 141]
128,[ 85 143 132 108  32]
129,[ 22  40  85 114  53]
130,[ 14 103  68 125 135]
131,[134 129 101 135   0]
132,[154 128  65  85 145]
133,[123  14 150  13 125]
134,[131 101 102 128 136]
135,[101 146   5  36 130]
136,[127   4 113 145 125]
137,[141 104 128 127 143]
138,[146 119 143  26 113]
139,[136 145  25 142 121]
140,[ 33  84 142 145 118]
141,[104 137 116  65 127]
142,[145  26 107 110  68]
143,[138 128  43  42 146]
144,[ 85  92 153  65 128]
145,[142 107 121 108 103]
146,[138 119 143  26 152]
147,[ 39 127  15 134 104]
148,[145 138 108 146 125]
149,[107 102  31  92  36]
150,[118 110 128 138 101]
151,[ 17  82 120 112 148]
152,[ 86 154 146 114 112]
153,[ 92 144  88 142 138]
154,[132 152  52  97 117]
